time,open,high,low,close,Range Filter,High Target,Low Target,upward,BBWP,Extreme Hi,Extreme Lo,MA 1,MA 2
1430438400,236.18,249.22,226.42,228.7,NaN,NaN,NaN,0,28.35820895522388,NaN,NaN,23.628025684928655,NaN
1433116800,228.38,269,219.71,262.89,NaN,NaN,NaN,0,26.47058823529412,NaN,NaN,24.79515920500335,NaN
1435708800,262.9,316.23,252.11,284.45,NaN,NaN,NaN,0,21.73913043478261,NaN,NaN,25.08048529195987,NaN
1438387200,284.45,287.05,162,231.35,NaN,NaN,NaN,0,17.142857142857142,NaN,NaN,23.893672105146685,NaN
1441065600,231.06,248.48,224.25,236.49,NaN,NaN,NaN,0,16.901408450704224,NaN,NaN,22.12243864377238,NaN
1443657600,236.72,336,236.19,316,NaN,NaN,NaN,0,16.666666666666664,NaN,NaN,19.78413018606094,NaN
1446336000,316,504,300.28,376.88,NaN,NaN,NaN,0,17.80821917808219,NaN,NaN,18.051656374618553,NaN
1448928000,376.89,475.04,346.13,429.02,NaN,NaN,NaN,0,20.27027027027027,NaN,NaN,17.757884341716085,NaN
1451606400,429.17,465,352.5,365.52,NaN,NaN,NaN,0,21.333333333333336,NaN,NaN,18.595979579811324,NaN
1454284800,365.58,451.6,363.23,438.99,NaN,NaN,NaN,0,22.36842105263158,NaN,NaN,19.6893821001968,NaN
1456790400,439.53,442.79,389,416.02,NaN,NaN,NaN,0,23.376623376623375,NaN,NaN,21.031373442188137,NaN
1459468800,416.34,471.99,412,446.6,NaN,NaN,NaN,0,24.358974358974358,NaN,NaN,22.341524478366573,NaN
1462060800,446.79,570,433,530.69,NaN,NaN,NaN,0,26.582278481012654,NaN,NaN,23.603926120515048,NaN
1464739200,530.69,789.78,523.75,671.9135,NaN,NaN,NaN,0,30,NaN,NaN,25.337259453848382,NaN
1467331200,671.685,704.3075,609.87225,624.22,NaN,NaN,NaN,0,30.864197530864196,NaN,NaN,27.036414749494906,NaN
1470009600,624.125,628.249,470.91,573.8025,NaN,NaN,NaN,0,29.268292682926827,NaN,NaN,28.214748610755596,NaN
1472688000,573.805,630.665,568.329,609.675,NaN,NaN,NaN,0,25.301204819277107,NaN,NaN,28.403194702816144,NaN
1475280000,609.675,721.9625,606.95075,697.69475,NaN,NaN,NaN,0,20.238095238095237,NaN,NaN,27.13435805423266,NaN
1477958400,697.7125,756.495,672.69175,742.339,NaN,NaN,NaN,0,20,NaN,NaN,25.13435805423266,NaN
1480550400,741.945,984.23,741.215,970.4175,NaN,NaN,NaN,0,29.069767441860467,NaN,NaN,24.775472036431914,NaN
1483228800,970.7525,1158.945,748.49525,968.74725,NaN,NaN,NaN,0,31.03448275862069,NaN,NaN,25.12871005157069,NaN
1485907200,968.354,1217.57325,931.739,1190.3725,NaN,NaN,NaN,0,38.63636363636363,NaN,NaN,27.795741814988,NaN
1488326400,1190.2695,1336.4955,888.84775,1080.825,NaN,NaN,NaN,0,38.20224719101123,NaN,NaN,31.388572205571194,NaN
1491004800,1081.145,1366.5875,1069.1925,1362.02675,NaN,NaN,NaN,0,41.11111111111111,NaN,NaN,35.610794427793415,NaN
1493596800,1360.16525,2766.83425,1347.69,2299.05525,NaN,NaN,NaN,0,56.043956043956044,NaN,NaN,41.00563214821253,NaN
1496275200,2299.13525,2975.7475,2076.18475,2455.4225,NaN,NaN,NaN,0,57.608695652173914,NaN,NaN,46.32047472692317,NaN
1498867200,2455.01,2944.9775,1799.3,2865.02325,NaN,NaN,NaN,0,61.29032258064516,NaN,NaN,50.85126651577948,NaN
1501545600,2865.02575,4764.25,2632.8575,4737.9375,NaN,NaN,NaN,0,68.08510638297872,NaN,NaN,56.82783835417298,NaN
1504224000,4737.875,4977.475,2974.3825,4334.18,NaN,NaN,NaN,0,66.3157894736842,NaN,NaN,61.8687740266876,NaN
1506816000,4334.1575,6458.4575,4146.9675,6439.52,NaN,NaN,NaN,0,69.79166666666666,NaN,NaN,64.61831615122972,NaN
1509494400,6442.4775,11428.45,5495.165,9968.3925,NaN,NaN,NaN,0,74.22680412371135,NaN,NaN,67.94193784553721,NaN
1512086400,9963.125,19804.2475,9424.28,13888.3225,NaN,NaN,NaN,0,77.55102040816327,NaN,NaN,71.19407741104084,NaN
1514764800,13888.35,17222.6125,9144.25,10115.7975,NaN,NaN,NaN,0,72.72727272727273,NaN,NaN,72.12251067989965,NaN
1517443200,10117.77,11773.775,5893.765,10306.8075,NaN,NaN,NaN,0,67,NaN,NaN,72.2593527851628,NaN
1519862400,10307.0275,11662.5375,6575,6922.18,NaN,NaN,NaN,0,59.4059405940594,NaN,NaN,70.18220757064134,NaN
1522540800,6923.4725,9757.9425,6442.2625,9243.395,NaN,NaN,NaN,0,54.90196078431373,NaN,NaN,66.31723890276183,NaN
1525132800,9245.66,9949.775,7047.96,7486.93,NaN,NaN,NaN,0,50.48543689320388,NaN,NaN,60.90412219976995,NaN
1527811200,7488.7975,7784.65,5743.85,6386.4525,NaN,NaN,NaN,0,44.230769230769226,NaN,NaN,55.204821500469244,NaN
1530403200,6386.235,8489.015,6073.8275,7725.9375,NaN,NaN,NaN,0,38.095238095238095,NaN,NaN,49.42386911951686,NaN
1533081600,7727.33,7755.135,5889,7016.315,NaN,NaN,NaN,0,28.30188679245283,NaN,NaN,43.20305835919555,NaN
1535760000,7015.315,7407.38,6174.7175,6565.645,NaN,NaN,NaN,0,25.233644859813083,NaN,NaN,37.26939517429541,NaN
1538352000,6550.5825,6788.75,6051.4775,6305.1325,NaN,NaN,NaN,0,21.296296296296298,NaN,NaN,31.431567054913906,NaN
1541030400,6305.6625,6544.225,3465.1275,3971.615,NaN,NaN,NaN,0,26.605504587155966,NaN,NaN,27.90651412619125,NaN
1543622400,3973.5325,4269.5175,3124.5125,3692.3525,NaN,NaN,NaN,0,38.18181818181819,NaN,NaN,27.923830143507274,NaN
1546300800,3692.905,4113.205,3331.09,3411.5775,NaN,NaN,NaN,0,31.53153153153153,NaN,NaN,28.56975909132301,NaN
1548979200,3412.3025,4189.02,3334.485,3792.1725,NaN,NaN,NaN,0,35.714285714285715,NaN,NaN,30.66588726221754,NaN
1551398400,3792.14,4130.43,3672.0725,4095.32,NaN,NaN,NaN,0,29.20353982300885,NaN,NaN,32.24733596756005,NaN
1554076800,4094.2825,5641.495,4052.07,5269.5575,NaN,NaN,NaN,0,29.82456140350877,NaN,NaN,32.89114733083061,NaN
